Product ID;Product;Brand;Category;pricing_role_category;URL;Price;Image URL
807087;A-DERMA PROTECT Cream SPF 50+ Uden Parfume 40 ml;A-DERMA;Skin care;B;https://www.matas.dk/soeg?search-query=807087;;https://images.matas.dk/encode/807087_1_20231024053353.jpg
827520;DIOR RGE DIOR SATIN 028 INT24;DIOR;Makeup;C;https://www.matas.dk/soeg?search-query=827520;;https://images.matas.dk/encode/3348901658744_20240416122457.jpg
1007001;Nalgene NM Sustain Cherry Blossom 1000 ml;Nalgene;Sport and nutrition;A;https://www.matas.dk/soeg?search-query=1007001;;https://images.matas.dk/encode/661195005210_20240926093321.jpg
729307;OH Transform Goodnight Glow Retin Sleep Creme 50ml (P);Ole Henriksen;Skin care;A;https://www.matas.dk/soeg?search-query=729307;;
702970;MAC Retro Matte Liquid Lipcolour  Carnivor (W);MAC;Makeup;C;https://www.matas.dk/soeg?search-query=702970;;https://images.matas.dk/encode/702970_1.jpg
800857;Alfons Åberg Millas Sjove Balsamspray 150 ml;Alfons Åberg;Baby and parent;C;https://www.matas.dk/soeg?search-query=800857;;https://images.matas.dk/encode/800857_1_20231024082203.jpg
826126;La Mer The Essential Tonic 100 ml;La Mer;Skin care;C;https://www.matas.dk/soeg?search-query=826126;;https://images.matas.dk/encode/747930127420_20250527180203.jpg
841721;Foster Grant Readers Bijoux +3,5;Foster Grant;Clothing, shoes and accessories;A;https://www.matas.dk/soeg?search-query=841721;;https://images.matas.dk/encode/7340223501698_20241107180900.jpg
693519;Bulldog Sensitive Shave Gel 175 ml (W);Bulldog;Personal care;C;https://www.matas.dk/soeg?search-query=693519;;https://images.matas.dk/encode/693519_1_20231023145449.jpg
1016478;Wheat Rainwear Ollo Jacket Aquamarin 104/4y;WHEAT;Baby and parent;;https://www.matas.dk/soeg?search-query=1016478;;https://images.matas.dk/encode/1016478_20250319125800.jpg
736718;JUR Citrus Hand Cream 125 ml (M);Jurlique;Skin care;C;https://www.matas.dk/soeg?search-query=736718;;https://images.matas.dk/encode/736718_20240730154401.jpg
809170;L’Atelier Parfum Tobacco Volute 15 ml;L’Atelier Parfum;Fragrances;C;https://www.matas.dk/soeg?search-query=809170;;https://images.matas.dk/encode/3770017929621_1_20251127122200.jpg
823797;Hairlust Volume Wizard Conditioner;Hairlust;Hair care and styling;C;https://www.matas.dk/soeg?search-query=823797;;https://images.matas.dk/encode/5714628001305_1.jpg
1006552;Coxir Intensive EGF Peptide Cream Maskpack 80 ml;coxir;Skin care;C;https://www.matas.dk/soeg?search-query=1006552;;https://images.matas.dk/encode/8809080826164_2_20240909154412.jpg
768465;Less is More Hand Wash 250 ml;Less Is More;Skin care;C;https://www.matas.dk/soeg?search-query=768465;;https://images.matas.dk/encode/9120035130525-1_20231024141135.jpg
1006311;Pomp & Co. Volumish Dust Powder Hvid 10 g Normal;Pomp & co.;Hair care and styling;C;https://www.matas.dk/soeg?search-query=1006311;;https://images.matas.dk/encode/5391535950799_20240904003551.jpg
784687;FT Dragon Superfoods Kokosnøddeolie 100 g;Dragon Superfoods;Food;C;https://www.matas.dk/soeg?search-query=784687;;
682485;GUM Mundskyl Paroex 012% Klorhexidin 300 ml;GUM;Personal care;A;https://www.matas.dk/soeg?search-query=682485;;https://images.matas.dk/encode/682485_1.jpg
720391;FT Biogan Loppefrøskaller/psyllium fint Øko 200 g;Biogan;Vitamins and supplements;C;https://www.matas.dk/soeg?search-query=720391;;
785148;FT Kingfisher Tandpasta Fennikel M. Fluor 100 ml;Kingfisher;Personal care;C;https://www.matas.dk/soeg?search-query=785148;;
1002998;Cam Cam Toilettaske Pressed Leaves Rose;Cam Cam Copenhagen;Baby and parent;C;https://www.matas.dk/soeg?search-query=1002998;;https://images.matas.dk/encode/5712805103897_20240802133812.jpg
757109;Sensai Blooming Blush Peach (G);Sensai;Makeup;C;https://www.matas.dk/soeg?search-query=757109;;https://images.matas.dk/encode/4973167294222_20251219180300.jpg
804629;Oscar De La Renta Alibi EDT 50 ml;Oscar de la Renta;Fragrances;C;https://www.matas.dk/soeg?search-query=804629;;https://images.matas.dk/encode/085715567239_20250204181048.jpg
775598;Sensai Total Eye Treatment 35 ml;Sensai;Skin care;C;https://www.matas.dk/soeg?search-query=775598;;
1011511;Adidas Full Finger Træningshandsker XL;Adidas;Sport and nutrition;C;https://www.matas.dk/soeg?search-query=1011511;;https://images.matas.dk/encode/0885652022033_20241108182000.jpg
823172;SZN Hårklemme 11 cm. Black;Senze;Hair care and styling;C;https://www.matas.dk/soeg?search-query=823172;;https://images.matas.dk/encode/823172.jpg
1013799;Gococo Compression Wool Black S;Gococo;Sport and nutrition;C;https://www.matas.dk/soeg?search-query=1013799;;https://images.matas.dk/encode/7340082404826_20241219065900.jpg
1030497;GOSH E.G.O Green For Him Deo Roll On 75ml (W);Gosh Copenhagen;Fragrances;C;https://www.matas.dk/soeg?search-query=1030497;;https://images.matas.dk/encode/5711914214449_20260130180200.jpg
829660;NYX Fix Stick Concealer Stick Fair 02;NYX PROFESSIONAL MAKEUP;Makeup;C;https://www.matas.dk/soeg?search-query=829660;;https://images.matas.dk/encode/829660_1_20240123164406.jpg
1041030;Fenty Pro Filt’r 2.0 Natural Matte Foundation Shade 6 32 ml;FENTY;Makeup;;https://www.matas.dk/soeg?search-query=1041030;;https://images.matas.dk/encode/840026672146_20260813180300.jpg
1030488;GOSH Lip Liner Brush 001;Gosh Copenhagen;Makeup;C;https://www.matas.dk/soeg?search-query=1030488;;https://images.matas.dk/encode/5711914215651_20260120180533.jpg
786718;Epitact Stabil Håndledsskinne Venstre str M (web);Epitact;Sport and nutrition;B;https://www.matas.dk/soeg?search-query=786718;;https://images.matas.dk/encode/786718_1_20231020092941.jpg
1026539;Too Faced Lip Injection Ext Lip Shaper Post-Op Pink 0,38 g (;Too Faced;Makeup;C;https://www.matas.dk/soeg?search-query=1026539;;
781914;NYX PMU Thick It. Stick It! Brow Mascara Cool Ash Brown;NYX PROFESSIONAL MAKEUP;Makeup;C;https://www.matas.dk/soeg?search-query=781914;;https://images.matas.dk/encode/781914_1.jpg
717593;RFM Facial Scrub 100 ml ) (W);Recipe For Men;Skin care;C;https://www.matas.dk/soeg?search-query=717593;;https://images.matas.dk/encode/717593_1_20231023133851.jpg
821101;Casall Soft Texture Tee White 36;Casall;Sport and nutrition;C;https://www.matas.dk/soeg?search-query=821101;;https://images.matas.dk/encode/821101_20240105173539.jpg
760099;Anastasia Mini Mascara;Anastasia Beverly Hills;Makeup;C;https://www.matas.dk/soeg?search-query=760099;;https://images.matas.dk/encode/760099_1_20231018161920.jpg
1015111;Atelier Des Ors Kawa Karda EDP Ext 40% 100 Ml (W);ATELIER DES ORS;Fragrances;C;https://www.matas.dk/soeg?search-query=1015111;;https://images.matas.dk/encode/3760027143940_1_20250129040600.jpg
